,FIGHTER,RECORD,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,FIGHTER_ID
1594,Alex Gilpin,Record: 11-1-0,"5' 7""",145 lbs.,"72""",Orthodox,"Mar 26, 1992",6.8,54%,12.29,42%,2.17,25%,0%,2.2,762c69860eef65d8
1595,Bob Gilstrap,Record: 5-7-0,"6' 3""",200 lbs.,--,Orthodox,1974.07.16,0.0,0%,0.0,0%,0.0,0%,0%,0.0,c96518b7f6881004
1596,Demetrius Gioulacos,Record: 0-1-0,"5' 11""",185 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,a58114c6dd0add64
1597,Billy Giovanella,Record: 9-5-0,"5' 8""",125 lbs.,"69.0""",--,"Aug 20, 1985",1.27,40%,2.02,52%,0.87,12%,100%,1.7,c1ea31a904fe08a9
1598,He-Man Gipson,Record: 1-2-0,--,--,--,--,1973.03.01,0.0,0%,0.0,0%,0.0,0%,0%,0.0,3e03cec9767d37e6
1599,Israel Giron,Record: 19-5-0,"5' 8""",155 lbs.,"69.0""",--,"Jan 16, 1974",0.0,0%,0.0,0%,0.0,0%,0%,0.0,4b4f6abdce986be6
1600,Brandon Girtz,Record: 14-7-0,"5' 7""",155 lbs.,"69.0""",--,"Mar 06, 1985",2.5,60%,1.92,47%,5.76,100%,100%,0.0,81f1810f72df8f25
1601,Jason Glaza,Record: 3-2-0,"6' 0""",230 lbs.,"75.5""",--,--,4.34,54%,0.43,40%,4.34,100%,0%,4.3,fda067e842b07466
1602,Mike Glenn,Record: 5-6-0,"6'1""",205 lbs.,--,--,"Oct 09, 1977",0.0,0%,0.0,0%,0.0,0%,0%,0.0,ed133185689088b3
1603,Rick Glenn,Record: 21-6-1,"6' 0""",145 lbs.,"70""",Southpaw,"Apr 12, 1989",4.31,42%,4.29,53%,0.67,13%,66%,0.3,814ff3018127e8fc
1604,Mark Godbeer,Record: 13-4-0,"6' 4""",240 lbs.,"77""",Orthodox,"Nov 22, 1983",3.97,53%,3.3,54%,0.0,0%,28%,0.0,ad56b3f00ca38dfd
1605,Clint Godfrey,Record: 13-3-0,"5' 6""",135 lbs.,"66.5""",Southpaw,"Oct 21, 1982",0.57,31%,0.96,65%,0.85,25%,50%,0.0,bd85ca0bb4f26cfc
1606,Jason Godsey,Record: 16-16-0,"6' 2""",230 lbs.,--,Orthodox,1964.01.01,0.0,0%,0.0,0%,0.0,0%,0%,0.0,5ca158b1cc9cb242
1607,Allan Goes,Record: 10-5-2,"6' 0""",205 lbs.,--,Orthodox,"Apr 20, 1971",0.64,52%,1.35,41%,1.75,40%,0%,2.6,e62b36885ecdac27
1608,Jonny Goh,Record: 3-4-0,"5' 11""",155 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,e86af30738a5452a
1609,Hannah Goldy,Record: 5-1-0,"5' 4""",125 lbs.,"61""",Orthodox,"May 18, 1992",6.53,46%,3.9,55%,0.0,0%,66%,0.0,26e3f3928b1891d9
1610,Marcelo Golm,Record: 6-3-0,"6' 3""",249 lbs.,"75""",Orthodox,"Sep 15, 1992",4.27,58%,4.3,45%,0.45,50%,87%,0.5,ac29d508d78384c9
1611,Sergio Gomez,Record: 10-3-0,"5' 6""",155 lbs.,--,Orthodox,"Apr 29, 1982",1.5,42%,1.16,56%,2.57,66%,31%,0.0,af1e5c64b8663aa0
1612,Frank Gomez,Record: 10-6-0,"5' 10""",135 lbs.,"67""",Orthodox,"Mar 31, 1986",1.52,48%,0.79,66%,1.14,60%,70%,0.8,a0a680fe2f6cc8e6
1613,Alan Gomez,Record: 2-0-0,--,155 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0a66de3a797cf73a
1614,David Gomez,Record: 1-2-0,--,155 lbs.,--,--,"Aug 08, 1983",0.0,0%,0.0,0%,0.0,0%,0%,0.0,489413d3be819647
1615,Ulysses Gomez,Record: 9-5-0,"5' 6""",125 lbs.,"66""",Orthodox,"May 25, 1983",2.72,25%,3.57,68%,0.0,0%,0%,0.0,1e35aa8955794580
1616,Joey Gomez,Record: 6-2-0,"5' 10""",135 lbs.,"73""",Orthodox,"Jul 21, 1986",2.44,28%,4.46,55%,0.62,100%,50%,0.0,0778f94eb5d588a5
1617,Luis Gomez,Record: 4-1-0,"5' 7""",145 lbs.,"68""",Orthodox,"Jan 28, 1995",1.57,33%,4.03,55%,4.48,50%,33%,0.0,513e84bfe65ff509
1618,Joey Gomez,Record: 7-1-0,"5' 10""",155 lbs.,"71""",Orthodox,"Aug 29, 1989",3.73,49%,3.33,50%,2.0,28%,0%,0.0,3a28e1e641366308
1619,Edson Gomez,Record: 6-1-0,"5' 8""",155 lbs.,--,--,"Feb 23, 1991",0.0,0%,0.0,0%,0.0,0%,0%,0.0,e90f4291f93708e6
1620,Silvana Gomez Juarez,Record: 6-2-0,"5' 3""",125 lbs.,--,Orthodox,"Jun 12, 1984",0.0,0%,0.0,0%,0.0,0%,0%,0.0,b4880ef2f838d4e1
1621,Takanori Gomi,Record: 35-14-0 (1 NC),"5' 7""",155 lbs.,"70""",Southpaw,"Sep 22, 1978",3.81,41%,3.52,60%,1.23,65%,63%,0.8,3be081c29bf734d9
1622,Akihiro Gono,Record: 35-21-8,"5' 7""",170 lbs.,"68""",Switch,"Oct 07, 1974",2.18,48%,2.67,63%,1.01,84%,46%,0.5,b2acebbef8da14ea
1623,Gabriel Gonzaga,Record: 17-11-0,"6' 2""",242 lbs.,"76""",Orthodox,"May 18, 1979",2.12,45%,2.94,57%,2.8,39%,66%,1.1,270b89c00ef0c55c
1624,Justin Gonzales,Record: 6-0-0,"5' 9""",145 lbs.,"72""",Orthodox,"Apr 28, 1991",6.67,80%,0.87,43%,14.0,73%,100%,0.0,94535f76f43b466a
1625,Fernando Gonzalez,Record: 26-14-0,"5' 9""",170 lbs.,"68""",Southpaw,"Sep 15, 1983",4.47,47%,4.03,65%,0.86,33%,43%,1.4,be5aab761c40ef35
1626,Nick Gonzalez,Record: 17-12-0 (1 NC),"5' 6""",155 lbs.,"69.0""",Orthodox,"Mar 03, 1981",0.59,20%,2.35,33%,0.0,0%,50%,0.0,28d8638ea0a71908
1627,Fabian Gonzalez,Record: 2-1-0,"5' 10""",135 lbs.,"68.5""",--,--,3.9,48%,4.39,51%,0.0,0%,66%,0.0,69c071bc2621e8b0
1628,Lewis Gonzalez,Record: 11-3-0,"5' 10""",170 lbs.,"73""",Orthodox,"Sep 19, 1987",1.4,37%,1.87,41%,2.0,33%,62%,0.0,2ff2e6e5abea3e53
1629,Jason Gonzalez,Record: 11-5-0,"6' 2""",155 lbs.,"74""",Southpaw,"Feb 28, 1990",3.06,39%,3.13,58%,0.0,0%,30%,1.0,e45cfa47f504033a
1630,Pearl Gonzalez,Record: 6-3-0,"5' 4""",115 lbs.,"68""",Orthodox,"Aug 12, 1986",2.23,37%,4.07,57%,1.04,11%,0%,0.5,1ebdcb7488d0ebee
1631,Jorge Gonzalez,Record: 16-4-0,"6' 2""",205 lbs.,"76""",Orthodox,"Feb 29, 1984",0.0,0%,0.0,0%,0.0,0%,0%,0.0,ff175a137b395e2b
1632,Mikey Gonzalez,Record: 7-2-0,"5' 11""",155 lbs.,"74""",Orthodox,"Aug 13, 1985",0.91,16%,14.55,11%,0.0,0%,0%,0.0,de47c33e48b0ce38
1633,Kier Gooch,Record: 2-7-0,"5'8""",155 lbs.,--,--,"Apr 21, 1986",0.0,0%,0.0,0%,0.0,0%,0%,0.0,1bda4867f1baceac
1634,Lyman Good,Record: 21-6-0 (1 NC),"6' 0""",170 lbs.,"74""",Orthodox,"May 26, 1985",5.34,48%,4.01,63%,0.27,100%,75%,0.0,4e0692ad070976e4
1635,Jared Gooden,Record: 17-4-0,"6' 0""",170 lbs.,"76""",--,"Dec 05, 1993",0.0,0%,0.0,0%,0.0,0%,0%,0.0,c730a0be691dc081
1636,Gary Goodridge,Record: 23-22-1,"6' 3""",249 lbs.,--,Orthodox,"Jan 17, 1966",1.84,56%,2.14,48%,0.4,100%,53%,0.8,fbbde91f7bc2d3c5
1637,Jordan Goodwin,Record: 0-0-0,--,155 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,7f98d9d5a10fa25c
1638,Gerard Gordeau,Record: 2-2-0,"6' 5""",216 lbs.,--,Orthodox,"Mar 30, 1959",0.0,0%,0.0,0%,0.0,0%,0%,0.0,279093302a6f44b3
1639,Eddie Gordon,Record: 8-4-0,"6' 0""",185 lbs.,"76""",Orthodox,"Jul 22, 1983",2.03,32%,2.57,60%,1.93,83%,63%,0.0,8cad40a75e5c97f5
1640,Jared Gordon,Record: 16-4-0,"5' 9""",145 lbs.,"68""",Orthodox,"Sep 06, 1988",5.55,55%,3.35,59%,2.98,41%,62%,0.0,7026eca45f65377b
1641,Tebaris Gordon,Record: 3-1-0,"6' 1""",265 lbs.,"78""",Orthodox,"Jul 19, 1988",3.53,16%,49.41,22%,0.0,0%,0%,0.0,68c4ca70067bf282
1642,Malcolm Gordon,Record: 12-4-0,"5' 7""",125 lbs.,"71""",Switch,"May 19, 1990",0.64,18%,2.55,57%,0.0,0%,0%,0.0,dee294e9717012c2
1643,Alex Gorgees,Record: 6-1-0,"6' 2""",155 lbs.,"74""",Switch,"Aug 11, 1995",0.67,32%,2.27,38%,0.0,0%,54%,0.0,803bebcfb6d6f506
1644,Tim Gorman,Record: 9-4-0,"5' 5""",135 lbs.,"68""",Southpaw,"Apr 29, 1983",2.73,31%,5.57,46%,1.0,9%,33%,0.0,c10eb2f12c489f6d
1645,Chase Gormley,Record: 14-6-0 (1 NC),"6' 3""",265 lbs.,"77.0""",Orthodox,1983.08.11,3.6,42%,6.03,44%,3.12,42%,0%,1.0,052ceb8976695342
1646,Jonathan Goulet,Record: 23-12-0 (1 NC),"6' 0""",170 lbs.,"73""",Orthodox,"Jul 13, 1979",1.61,41%,2.01,46%,4.17,70%,45%,0.6,fb1538b46877a695
1647,Thibault Gouti,Record: 12-5-0,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 27, 1987",3.68,34%,5.64,50%,1.23,80%,83%,0.3,51e86de150ee8be6
1648,Wilson Gouveia,Record: 14-8-0,"6' 1""",185 lbs.,"76""",Orthodox,"Oct 03, 1978",3.02,39%,4.06,56%,0.9,66%,57%,2.2,af5b208e97f5d382
1649,Todd Gouwenberg,Record: 9-5-0,"6' 1""",205 lbs.,--,Orthodox,"Sep 25, 1974",0.52,23%,2.93,42%,1.57,33%,50%,0.0,c44acf87e376c62b
1650,Hugo Govea,Record: 0-1-0,--,--,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2391a73686200c5d
1651,Justin Governale,Record: 5-5-0,"5'9""",145 lbs.,--,--,1986.03.06,0.0,0%,0.0,0%,0.0,0%,0%,0.0,ae954fd497025462
1652,Damian Grabowski,Record: 20-5-0,"6' 1""",241 lbs.,"75""",Orthodox,"May 12, 1980",4.0,36%,7.65,51%,0.0,0%,0%,0.0,3f11b5d4bd76a6d9
1653,Royce Gracie,Record: 15-2-3,"6' 1""",175 lbs.,--,Southpaw,"Dec 12, 1966",0.88,41%,1.13,37%,0.0,0%,66%,0.8,429e7d3725852ce9
1654,Crosley Gracie,Record: 2-2-0,"5' 9""",190 lbs.,--,Orthodox,"Jul 18, 1979",1.69,37%,1.54,60%,3.46,85%,50%,0.6,52d92050a046bc17
1655,Daniel Gracie,Record: 5-4-1,"6' 2""",225 lbs.,"71.0""",Orthodox,1972.06.28,1.9,38%,1.33,59%,0.36,100%,80%,2.1,82d6a9ae41aac3f7
1656,Ralph Gracie,Record: 6-1-0,"5' 9""",183 lbs.,--,Orthodox,1971.05.25,0.86,37%,1.72,31%,0.0,0%,25%,4.0,a9c45a8b21eabadc
1657,Renzo Gracie,Record: 13-7-1 (1 NC),"5' 10""",185 lbs.,--,Orthodox,"Mar 11, 1967",1.71,41%,1.67,55%,1.13,20%,40%,0.8,aae0897825336b1a
1658,Rickson Gracie,Record: 11-0-0,"5' 10""",185 lbs.,--,Switch,"Nov 20, 1958",0.0,0%,0.0,0%,0.0,0%,0%,0.0,194fc025f9355db6
1659,Rodrigo Gracie,Record: 6-2-1,"6' 0""",183 lbs.,--,Orthodox,"Apr 11, 1975",1.34,51%,0.86,46%,1.49,50%,75%,0.4,36877f0e62b25b96
1660,Royler Gracie,Record: 5-5-1,"5' 8""",150 lbs.,--,Southpaw,"Dec 06, 1965",0.0,0%,0.0,0%,0.0,0%,0%,0.0,b807814d977682eb
1661,Ryan Gracie,Record: 5-2-0,"5' 9""",200 lbs.,--,Orthodox,"Aug 14, 1974",0.82,61%,0.5,40%,2.83,75%,25%,0.9,0c3838c8f7c620c2
1662,Ralek Gracie,Record: 3-1-0,"6' 2""",210 lbs.,--,Orthodox,"Oct 04, 1985",1.61,46%,1.05,55%,2.5,75%,0%,1.7,84283233ec42be5f
1663,Rolles Gracie,Record: 8-4-0,"6' 4""",242 lbs.,--,Orthodox,"Jul 14, 1978",2.3,32%,3.38,55%,2.3,10%,0%,0.0,e4a9dbade7c7e1a7
1664,Cesar Gracie,Record: 0-1-0,"5' 10""",181 lbs.,--,Orthodox,--,0.0,0%,17.14,50%,0.0,0%,0%,0.0,079488710f012779
1665,Roger Gracie,Record: 8-2-0,"6' 4""",185 lbs.,"79""",Orthodox,"Sep 26, 1981",1.78,35%,1.79,61%,1.87,53%,60%,1.9,a6bbd3df469c6bea
1666,Igor Gracie,Record: 5-4-0,"5' 11""",170 lbs.,--,--,"Feb 04, 1980",1.86,60%,0.99,50%,3.72,50%,0%,3.7,722b870449243083
1667,Neiman Gracie,Record: 6-0-0,"6' 0""",170 lbs.,"74.0""",--,1988.12.12,0.77,100%,0.38,75%,5.77,100%,0%,5.8,12d855d12a624da2
1668,Kron Gracie,Record: 5-1-0,"5' 9""",145 lbs.,"70""",Southpaw,"Jul 11, 1988",5.15,41%,8.13,53%,0.88,25%,0%,0.9,242d36d241b43c12
1669,Steven Graham,Record: 2-1-0,"6' 1""",290 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,3e514f437c51ce0a
1670,Scott Graham,Record: 3-1-0,"6' 4""",185 lbs.,--,Orthodox,--,0.91,42%,2.27,28%,0.0,0%,0%,0.0,6e4acc2c115215b5
1671,Miranda Granger,Record: 7-1-0,"5' 7""",125 lbs.,"68""",Orthodox,"Apr 13, 1992",3.47,43%,3.37,64%,0.0,0%,0%,0.0,7559395ad833c074
1672,TJ Grant,Record: 21-5-0,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 26, 1984",3.95,54%,3.21,56%,1.63,43%,36%,0.6,a26198ba5093147e
1673,Davey Grant,Record: 12-4-0,"5' 8""",135 lbs.,"69""",Orthodox,"Dec 18, 1985",3.67,48%,2.32,63%,2.59,47%,66%,0.2,113df4fde64735c6
1674,Dwight Grant,Record: 10-3-0,"6' 1""",170 lbs.,"76""",Switch,"Sep 14, 1984",3.39,37%,2.16,69%,0.34,100%,78%,0.0,8be158ca1e5ea6a0
1675,Alexa Grasso,Record: 12-3-0,"5' 5""",115 lbs.,"66""",Orthodox,"Aug 09, 1993",5.35,42%,3.76,63%,0.32,40%,63%,0.5,e8b731feff72294b
1676,Tony Gravely,Record: 19-6-0,"5' 5""",135 lbs.,"69""",Orthodox,"Sep 28, 1991",3.94,59%,2.03,44%,4.77,66%,41%,1.2,601964f9654f911a
1677,Michael Graves,Record: 6-0-1,"5' 10""",170 lbs.,"71""",Orthodox,"Jan 08, 1991",1.25,54%,1.47,58%,4.8,52%,66%,0.4,3f1d23b01c552a13
1678,Shelton Graves,Record: 7-3-0,"6' 2""",255 lbs.,"76""",Southpaw,"Oct 23, 1985",2.19,69%,0.81,33%,4.86,57%,0%,0.0,642862d6d63605cd
1679,James Gray,Record: 4-1-0,"5' 9""",135 lbs.,"70.0""",Orthodox,"Oct 25, 1987",2.61,50%,18.26,44%,0.0,0%,0%,0.0,2db65fc038c0018e
1680,Kevin Gray,Record: 9-4-0,"5' 4""",125 lbs.,"67""",Orthodox,"May 03, 1985",3.45,62%,4.48,66%,0.0,0%,0%,0.0,bb0d290026d7681d
1681,Sam Greco,Record: 3-1-1,"6' 2""",205 lbs.,--,Orthodox,"May 03, 1967",2.4,75%,1.33,53%,0.0,0%,25%,1.0,6d12031661db8ac8
1682,Bobby Green,Record: 27-10-1,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 09, 1986",5.13,51%,3.36,63%,1.53,39%,74%,0.4,887961364be5ceb3
1683,Desmond Green,Record: 23-8-0,"5' 10""",155 lbs.,"73""",Southpaw,"Oct 11, 1989",3.7,46%,2.51,69%,1.62,50%,75%,0.0,f046d724d2a84ac5
1684,Gabe Green,Record: 9-3-0,"5' 10""",170 lbs.,"73""",Switch,"May 02, 1993",8.47,46%,11.67,49%,0.0,0%,0%,0.0,5eb50529a8418b77
1685,Maurice Greene,Record: 9-5-0,"6' 7""",258 lbs.,"80""",Orthodox,"Jul 05, 1986",4.31,44%,3.96,47%,0.0,0%,33%,0.7,068f8a189a47fea6
1686,Matt Grice,Record: 15-5-0,"5' 8""",145 lbs.,"70""",Orthodox,"Jul 29, 1981",4.09,53%,2.69,56%,2.19,37%,82%,0.5,bfc2fc38a0e20211
1687,Forrest Griffin,Record: 19-7-0,"6' 3""",205 lbs.,"77""",Orthodox,"Mar 16, 1979",4.38,36%,2.81,61%,1.05,48%,57%,0.7,fcffee71cff5530e
1688,Achmed Labasanov,Record: 7-4-0,"6' 3""",215 lbs.,--,Orthodox,"Apr 24, 1978",0.75,39%,1.1,46%,3.0,100%,0%,0.8,b3fb8d2293e17a59
1689,Josh LaBerge,Record: 11-6-0,"5' 10""",145 lbs.,"71.0""",--,--,2.53,36%,5.33,44%,0.0,0%,71%,0.0,5108b169b5fe1f86
1690,Jeremiah Labiano,Record: 11-5-0,"5' 10""",135 lbs.,"70.0""",--,1986.11.18,0.0,0%,0.0,0%,0.0,0%,0%,0.0,4fe1d105af549845
1691,Kemran Lachinov,Record: 3-2-0,"5'9""",170 lbs.,--,--,1990.07.19,0.0,0%,0.0,0%,0.0,0%,0%,0.0,eb84192d1a97f69e
1692,Aspen Ladd,Record: 9-1-0,"5' 6""",135 lbs.,"66""",Orthodox,"Mar 01, 1995",5.22,55%,4.84,46%,2.45,75%,66%,1.2,d4691518d012b9e7
1693,Ryan LaFlare,Record: 14-3-0,"6' 1""",170 lbs.,"74""",Southpaw,"Oct 01, 1983",2.89,40%,1.86,63%,2.13,44%,58%,0.2,4c7781da8c6cae93
1694,Ben Lagman,Record: 6-5-0,"6' 2""",185 lbs.,"77.0""",--,"Sep 04, 1986",0.0,0%,0.0,0%,0.0,0%,0%,0.0,b40e65d71a8d4ce5
1695,Noad Lahat,Record: 11-2-0,"5' 9""",145 lbs.,"69""",Orthodox,"Jun 08, 1984",2.79,46%,1.47,63%,2.37,26%,16%,2.4,9f755fb04cc21499
1696,Tina Lahdemaki,Record: 5-1-0,"5' 2""",115 lbs.,"62""",Orthodox,"May 28, 1988",1.93,20%,4.67,57%,0.0,0%,16%,0.0,e5ca2bc2451a5956
1697,Tim Lajcik,Record: 7-6-1,"6' 1""",225 lbs.,--,Orthodox,"Jun 21, 1965",0.0,0%,0.0,0%,0.0,0%,0%,0.0,c7e9d15cfce52f1d
1698,Todd Lally,Record: 2-1-0,"5' 7""",145 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,7d06092326c52528
1699,Sean Lally,Record: 7-3-0,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 04, 1990",5.34,39%,7.23,30%,0.0,0%,0%,0.0,e62ce041bb7aeb1f
1700,Ricardo Lamas,Record: 20-8-0,"5' 8""",145 lbs.,"71""",Orthodox,"May 21, 1982",3.13,47%,2.87,57%,1.84,33%,46%,0.9,3974fa35c917af1d
1701,Jason Lambert,Record: 26-13-0,"6' 3""",185 lbs.,"75""",Orthodox,"Jun 03, 1975",3.21,58%,1.84,50%,1.35,36%,28%,2.4,5be86bb2f78fef2f
1702,Jose Landi-Jons,Record: 29-16-0,"5' 11""",170 lbs.,"74.0""",Orthodox,"Sep 09, 1973",0.99,40%,0.77,43%,2.2,80%,40%,2.2,7e062824c175f975
1703,Nate Landwehr,Record: 14-3-0,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 06, 1988",6.89,50%,7.22,52%,0.0,0%,85%,0.0,583ee11abddfc581
1704,Austen Lane,Record: 2-1-0,"6' 6""",245 lbs.,"80""",Orthodox,"Nov 09, 1987",5.26,35%,6.32,60%,0.0,0%,0%,0.0,be9bdec19b7e9ffe
1705,Aaron Lanfranco,Record: 5-1-0,--,155 lbs.,--,--,"Aug 26, 1986",0.0,0%,0.0,0%,0.0,0%,0%,0.0,d73e856f150744b2
1706,Jeremy Lang,Record: 21-2-0,"5' 11""",205 lbs.,--,Southpaw,"May 11, 1975",1.13,50%,1.41,42%,4.22,60%,0%,4.2,09422812370fbdfe
1707,Tyson Griffin,Record: 16-8-0,"5' 6""",145 lbs.,"68""",Orthodox,"Apr 20, 1984",3.71,41%,2.3,65%,1.87,46%,59%,0.9,20205040232ed0f3
1708,Max Griffin,Record: 15-8-0,"5' 11""",170 lbs.,"76""",Orthodox,"Nov 29, 1985",3.87,49%,3.93,55%,1.9,55%,66%,0.5,b0d6a1d8ac3d563d
1709,Jordan Griffin,Record: 18-8-0,"5' 10""",145 lbs.,"73""",Southpaw,"Feb 28, 1990",2.6,46%,3.18,48%,0.78,23%,42%,1.8,ebef46976554f975
1710,Chad Griggs,Record: 11-3-0,"6' 1""",205 lbs.,"73""",Orthodox,"May 15, 1978",2.67,50%,2.22,46%,1.51,66%,41%,0.0,fdf18227faa596dd
1711,Chuck Grigsby,Record: 23-10-0,"6' 6""",205 lbs.,--,Orthodox,1972.08.15,0.71,16%,3.29,46%,0.0,0%,66%,0.0,7fb4234670271505
1712,Rodrigo Gripp de Sousa,Record: 7-9-0,"5' 11""",205 lbs.,--,Orthodox,--,0.48,23%,4.81,52%,0.0,0%,0%,9.6,dde70a112e053a6c
1713,Maxim Grishin,Record: 30-8-2,"6' 3""",220 lbs.,"78""",Orthodox,"May 02, 1984",1.2,56%,1.6,53%,0.0,0%,57%,0.0,950d0ef5c17157c5
1714,Josh Grispi,Record: 14-5-0,"5' 11""",145 lbs.,"74""",Orthodox,"Oct 14, 1988",1.44,41%,3.71,50%,1.97,36%,16%,2.2,60ba33c3f555a7a3
1715,Garrett Gross,Record: 11-7-0,"5' 9""",155 lbs.,"69""",Orthodox,"Aug 08, 1988",2.39,45%,1.67,46%,0.0,0%,52%,0.0,6741218640534d8b
1716,Kendall Grove,Record: 23-17-0 (1 NC),"6' 6""",185 lbs.,"79""",Orthodox,"Nov 12, 1982",2.31,41%,2.4,54%,0.49,45%,56%,1.7,234f3767ff0e5701
1717,Neil Grove,Record: 12-8-1,"6' 6""",265 lbs.,"78.0""",Orthodox,"Jan 18, 1971",0.0,0%,0.0,0%,0.0,0%,100%,14.3,36a432f22144843e
1718,Chris Gruetzemacher,Record: 14-3-0,"5' 8""",155 lbs.,"68""",Orthodox,"Jun 16, 1986",7.12,58%,5.09,56%,0.0,0%,62%,0.0,feaf00f3373435d6
1719,Vik Grujic,Record: 6-6-0,"5' 11""",170 lbs.,"73""",Orthodox,"Feb 06, 1977",2.24,48%,3.39,41%,1.18,33%,26%,0.4,1e7483dbff40b84b
1720,Mike Grundy,Record: 12-2-0,"5' 7""",145 lbs.,"72""",Orthodox,"Jan 03, 1987",2.15,43%,4.09,58%,4.25,38%,100%,0.6,56fcb2c4d99f9d1b
1721,Wang Guan,Record: 20-1-1,"5' 9""",145 lbs.,"71""",Orthodox,"Mar 14, 1986",4.73,43%,3.27,60%,0.0,0%,0%,0.0,dd12382f28296f7b
1722,Nandor Guelmino,Record: 11-5-1,"6' 3""",230 lbs.,"76.5""",--,"Dec 20, 1975",3.62,56%,3.16,33%,0.0,0%,42%,0.0,1abfb658cd4f8533
1723,Fabricio Guerreiro,Record: 21-5-0 (1 NC),"5' 10""",145 lbs.,--,--,"Jul 24, 1990",1.87,31%,2.2,67%,2.0,50%,0%,0.0,2963369e327e1979
1724,Shannon Gugerty,Record: 15-7-0,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 30, 1981",1.25,39%,1.88,58%,2.13,27%,50%,3.4,9f1641c08cf8fbe2
1725,Clay Guida,Record: 35-17-0,"5' 7""",155 lbs.,"70""",Orthodox,"Dec 08, 1981",2.41,33%,2.52,64%,3.37,38%,68%,0.7,c47df9303d318c67
1726,Jason Guida,Record: 19-28-0 (2 NC),"5' 10""",214 lbs.,"74.0""",--,"Aug 04, 1977",1.87,40%,3.33,52%,1.0,14%,50%,1.0,ce25b4ed82b1811b
1727,Melvin Guillard,Record: 32-18-2 (3 NC),"5' 9""",155 lbs.,"71""",Orthodox,"Mar 30, 1983",2.96,40%,1.85,66%,1.3,63%,61%,0.2,ccd1299e0345e0ce
1728,Chris Guillen,Record: 13-16-0,"6' 0""",240 lbs.,--,Orthodox,"Dec 09, 1972",0.82,27%,1.91,36%,0.0,0%,0%,0.0,da0f33e4255f99eb
1729,Marcelo Guimaraes,Record: 9-2-1,"6' 0""",185 lbs.,"73""",Orthodox,"Jun 25, 1983",4.67,51%,4.41,62%,1.99,13%,0%,0.0,0c9c0a43d3f3f49d
1730,Leonardo Guimaraes,Record: 11-5-0 (1 NC),"6' 0""",185 lbs.,--,Orthodox,"Apr 15, 1982",2.35,56%,2.99,44%,0.0,0%,52%,1.0,cc98d857b148e33a
1731,Brad Gumm,Record: 10-6-1 (1 NC),"5' 11""",170 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,4d74641fac830182
1732,John Gunderson,Record: 35-16-2,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 05, 1979",1.04,27%,1.71,58%,1.67,33%,11%,2.0,a0c139b34f11421a
1733,John Gunther,Record: 5-1-0,"5' 9""",155 lbs.,"72""",Orthodox,"Nov 24, 1985",1.65,37%,3.72,46%,7.08,42%,0%,0.0,3956bdc8ab2e54b3
1734,Jorge Gurgel,Record: 14-10-0,"5' 7""",155 lbs.,"69""",Orthodox,"Jan 25, 1977",3.37,32%,3.62,62%,0.81,23%,60%,0.5,04d5718ed2661e8c
1735,Fabio Gurgel,Record: 3-2-0,"6' 0""",205 lbs.,--,Orthodox,1970.01.18,0.0,0%,0.0,0%,0.0,0%,0%,0.0,8377c5572cb356f3
1736,Andre Gusmao,Record: 6-3-0,"6' 0""",205 lbs.,--,Orthodox,"May 19, 1977",2.79,43%,3.28,60%,0.0,0%,60%,0.0,cc300e9aa3063431
1737,Alexander Gustafsson,Record: 18-7-0,"6' 5""",205 lbs.,"79""",Orthodox,"Jan 15, 1987",4.02,40%,3.42,51%,1.54,39%,83%,0.4,3c6976f8182d9527
1738,Justin Guthrie,Record: 18-9-0,"6' 1""",170 lbs.,"72.0""",--,"Jan 19, 1981",0.16,33%,3.74,14%,2.44,25%,0%,4.9,a789defa9086da46
1739,Horacio Gutierrez,Record: 4-3-0,"5' 10""",145 lbs.,"69""",--,"Sep 15, 1990",0.86,26%,2.91,46%,0.0,0%,50%,0.0,cd85b48dc880fabd
1740,Chris Gutierrez,Record: 15-3-2,"5' 9""",145 lbs.,"67""",Orthodox,"Apr 22, 1991",4.23,58%,2.11,62%,0.47,50%,76%,0.2,45f0cc9d18f35137
1741,Mike Guymon,Record: 15-6-1,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 17, 1974",2.75,65%,0.79,66%,1.87,37%,54%,1.2,eaea0fc7b76525a8
